model,rmse,mae,mape
Ensemble,810.1660075140433,677.02981090727,7.2536139409979175
XGBoost,933.7018426336583,744.305517578125,7.464197326747761
LSTM,949.3925332768304,739.572509765625,7.597636674268429
Linear Regression,1488.3243717166083,1215.6200269279154,12.582580171039226
Prophet,1631.4674651221153,1119.704819257348,11.5606834366482
Seasonal Naive (7d),1831.0183869457276,1418.2,14.35091373273782
Mean Baseline,2072.4035196759123,1610.6073791213216,15.72675323506451
"ARIMA(1,1,1)",2319.412844025232,2091.6650536545635,22.52486973554033
Last Value,4967.694190131541,4520.833333333333,51.25113008345924
